No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
89,13.749704,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xe62a No such name PTR 6.2.0.10.in-addr.arpa OPT,53,43253
90,13.749795,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xe62a PTR 6.2.0.10.in-addr.arpa,43253,53
91,13.749881,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x95fe No such name PTR 7.2.0.10.in-addr.arpa OPT,53,59919
92,13.749976,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x95fe PTR 7.2.0.10.in-addr.arpa,59919,53
93,13.75043,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x46e0 No such name PTR 8.2.0.10.in-addr.arpa OPT,53,35314
94,13.750538,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x46e0 PTR 8.2.0.10.in-addr.arpa,35314,53
95,13.750949,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa99b No such name PTR 9.2.0.10.in-addr.arpa OPT,53,56183
96,13.751068,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa99b PTR 9.2.0.10.in-addr.arpa,56183,53
97,13.75218,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x5de0 No such name PTR 0.2.0.10.in-addr.arpa,53,59832
98,13.752713,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x6a4e No such name PTR 1.2.0.10.in-addr.arpa,53,51403
