Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
124,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56162.0,0,0,0
125,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,56043.0,0,0,0
126,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41636.0,0,0,0
127,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,57149.0,0,0,0
128,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,34443.0,53.0,0,0,0
129,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,38738.0,53.0,0,0,0
130,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,42121.0,53.0,0,0,0
131,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,54289.0,53.0,0,0,0
132,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,36469.0,53.0,0,0,0
133,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,34737.0,53.0,0,0,0
134,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,34877.0,53.0,0,0,0
135,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,50057.0,53.0,0,0,0
136,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,43986.0,53.0,0,0,0
137,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,53239.0,53.0,0,0,0
138,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34443.0,0,0,0
139,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,38738.0,0,0,0
140,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,42121.0,0,0,0
141,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,34443.0,53.0,0,0,0
142,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,38738.0,53.0,0,0,0
143,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,54289.0,0,0,0
144,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,42121.0,53.0,0,0,0
145,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,54289.0,53.0,0,0,0
146,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36469.0,0,0,0
147,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,36469.0,53.0,0,0,0
148,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34737.0,0,0,0
149,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,34737.0,53.0,0,0,0
150,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34877.0,0,0,0
151,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,50057.0,0,0,0
152,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,34877.0,53.0,0,0,0
153,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,50057.0,53.0,0,0,0
154,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43986.0,0,0,0
155,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53239.0,0,0,0
156,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,43986.0,53.0,0,0,0
157,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,53239.0,53.0,0,0,0
158,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34443.0,0,0,0
159,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,38738.0,0,0,0
160,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,40105.0,53.0,0,0,0
161,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,43192.0,53.0,0,0,0
162,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,42121.0,0,0,0
163,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,39840.0,53.0,0,0,0
164,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,39306.0,53.0,0,0,0
165,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,54289.0,0,0,0
166,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,36469.0,0,0,0
167,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34737.0,0,0,0
168,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,41807.0,53.0,0,0,0
169,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,34877.0,0,0,0
170,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,50057.0,0,0,0
